Date,Topic,Link
२०८० माघ १२,छात्रवृत्तिको लागि दरखास्त दिएका उम्मेदवारहरूको पूर्वमनोनयन गरिएको सम्बन्धी जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1706260326_992036122_Pre-Nomination%20Notice%20China%202024-25.pdf
२०८० माघ ८,स्नातक र स्नातकोत्तर तहको छात्रवृत्तिमा अध्ययन गर्न दरखास्त दिने उम्मेदवारहरुको योग्यताक्रम कायम सम्बन्धी जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1705912821_1232548049_Notice%20Merit%20List%20China.pdf
२०८० माघ ७,M.SC. in Rehabilitation Science (8th Batch: July 2024 intake ) मा २ वर्ष Scholarship मा भर्ना खुल्ला भएको सम्बन्धी जानकारीमलूक सचूना,https://moest.gov.np/upload_file/files/post/1705818283_1572205884_Notice.pdf
२०८० पौष १८,चीन सरकारद्वारा सन् २०२४/०२५ लागि प्रदान गरेको इञ्जिनियरिङ र कृषि विषयमा स्नातक तथा स्नातकोत्तर तहको छात्रवृत्तिमा अध्ययन गर्न इच्छुक उम्मेदवारलाई दरखास्त दिने सम्बन्धी जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1704272728_1467339405_notics.pdf
२०८० पौष ३,वैदेशिक अध्ययन छात्रवृत्तिका लागि निवेदन पेश गर्ने सूचना,https://moest.gov.np/upload_file/files/post/1702957012_1303648086_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%20%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE%20%E0%A4%B2%E0%A4%BE%E0%A4%97%E0%A4%BF%20%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%AA%E0%A5%87%E0%A4%B6%20%E0%A4%97%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A5%87%20%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE.pdf
२०८० कार्तिक ३,वैदेशिक अध्ययन छात्रवृत्तिका लागि निवेदन पेश गर्ने सम्बन्धी सूचना,https://moest.gov.np/upload_file/files/post/1697785293_860441095_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%20%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF.pdf
२०८० भाद्र ४,Swiss Government Excellence Scholarship खुल्ला भएको सम्बन्धी जानकारीमूलक सूचना:,https://moest.gov.np/upload_file/files/post/1692601705_1281160558_Notice......pdf
२०८० श्रावण २,Study in Egypt कार्यक्रम अन्तर्गत इजिप्टमा International Students को लागि Academic Year 2023/2024 मा Graduate र Post Graduate तहमा भर्ना खुल्ला भएको सम्बन्धी जानकारीमूलक सूचना ।,https://moest.gov.np/upload_file/files/post/1689671829_1970735602_Notics..pdf
२०८० जेठ २४,PTAP कार्यक्रम अन्तरगतको B.Sc. Engineering विषयको छात्रबृत्तिमा पाकिस्तानमा अध्ययन गर्न इच्छुकले दरखास्त दिने सम्बन्धी जरुरी सूचना:,https://moest.gov.np/upload_file/files/post/1686118079_1242509506_Notice-1%202023-6-7.pdf
२०८० जेठ ७,"थाइल्यान्डको The Chulabhorn Royal Academy, Chulabhorn Graduate Institute ले विज्ञान तथा प्रविधिका विभिन्न विधाहरुमा छात्रवृत्ति प्रदान गर्ने जानकारीमूलक सूचना :",https://moest.gov.np/upload_file/files/post/1684652651_437361297_Notics%20(1)%20(1).pdf
